"x","y"
132582.13242942,271309.57252436
150920.0162452,268850.86819428
216549.4198459,267522.80452983
165698.17433662,263443.80891805
230389.11045046,262114.55497358
238198.37018274,261832.77658572
184642.86491812,261559.9808743
230111.99194881,260682.95103885
207330.62787739,260151.60768835
120849.84377142,259453.14080666
202879.76029604,245544.54758662
124380.53829903,238924.24824327
250556.152891722,238674.195287825
264702.31978137,229815.7712189
170039.53523797,224404.50021318
154486.87154637,223879.54099814
177265.77458258,223317.4794751
125676.73690198,215113.90014108
134426.01270708,274825.30648019
227659.14479772,253035.7904007
167544.01898308,237788.31988612
133385.74569025,274462.41144394
228708.078834992,265294.19727081
228582.877282226,263603.287100293
126039.54756116,223013.05512904
235535.76703327,216299.53234344
130527,275512
137869.55931854,273939.94378547
156752.59616404,258898.97599073
112664.48971363,256889.09983522
123938.46815968,254404.60133655
214430.86318283,253209.07759805
125855.19869608,250650.23101225
202426.50503991,245706.31281327
241548.51099745,243082.49725575
226339.15781025,231584.66118787
188992.39340248,224193.73247937
249433.75380204,262491.28727658
247141.32983599,253770.89759733
255949.5818649,244832.26157216
255949.5818649,244832.26157216
249017.78839677,240308.892625
249347.01897503,238938.3852007
200438.13130905,271811.310807
126214.6236934,269712.32658634
239240.52811345,263646.35240668
234445.86252229,262752.9198361
275772.03692198,260422.54580617
264104.16623315,260209.04641108
123522.9845676,228984.63923919
133334.65507299,273955.03157135
125715.65779489,271525.93074999
182630.39123934,269783.62029094
239004.60719062,268547.6746739
238869.33983896,268299.98975423
239663.754410665,268117.760836844
226903.39828691,264516.73282072
124091.78586817,263811.4835912
131867.12400652,260399.0977904
135179.76925319,259351.6309407
318505.65610881,253498.4233057
231644.40290417,232160.1778291
123395.79850282,218916.21136971
233752.43495555,270118.48598967
159973.92229749,269960.31922688
240003.98590899,268678.41761056
236037.64941704,268448.78239334
177339.45609631,268205.80905406
244638.07567893,266252.23529231
243849.7732989,263950.69434563
270777.84500169,261687.47578009
231979.59760657,260035.93972765
268886.67922454,259642.74314769
233244.36082927,257633.10431418
242691.79948228,256635.5872063
216592.61733635,247430.98723662
128099.29812642,228084.81000051
190170.65909829,224235.51436362
182767.9565079,219266.14499471
175734.50836982,217829.09168089
154705.32855908,271796.09531767
151069.25594942,268585.55676153
234339.48368171,262746.41684653
141289.08961866,259787.46488401
150442.95681511,259777.10112063
113990.21183498,256284.15278281
238865.30842377,254747.49942144
226149.99499949,253334.42187432
259188.64997342,240636.19372837
128144.78564262,237662.1416385
207545.84367254,219007.88917952
128169.54722659,274539.14250336
134586.83233581,272915.91373325
148642.88429163,269344.06272366
238555.9255073,267893.25417645
125675.58218617,267305.72404089
151445.6021397,266081.03077666
135680.88062245,263245.07969136
120846.30939879,258609.05399596
185278.65927909,257819.1658718
243983.87268886,245019.55930912
270743.17555573,244923.17039368
226296.76803743,236856.76031374
265028.38090001,235054.24984049
121333.61258653,228989.14846447
266492.56727109,228070.37883839
197329.58822518,224700.34062325
255150.99258571,219226.15018168
123675.36850607,270408.28077742
213349.70424419,270178.32639418
193595.76969081,233667.62288135
174405.39652898,233210.87430901
176382.57240131,218329.66248957
125912.48964436,269688.68152451
192741.720499,268258.48874052
184899.70451369,265768.4534077
237935.0491368,265247.69957886
239020.18244715,257477.65849141
241529.33216403,237959.73697561
219371.39781037,221225.86404719
133164.46933655,274590.86247899
214213,270629
214288.38909865,270585.14880011
215353.43301408,270537.90263828
237191.23015882,269524.17144225
231012.288940606,269077.456100647
242869.99878632,267475.62943261
231955.064400419,261224.849006984
231955.064400419,261224.849006984
230983.35179011,260976.56112507
262634.30293213,260782.18361988
242067.56622675,257684.30786726
253294.82678717,255899.34569097
279293.59258581,255152.96778666
174567.2095614,249774.34680721
241796.53444309,247137.10565445
248938.360740155,246636.977459521
125627.168430608,243981.963825699
254036.32037291,243729.56465835
257081.83425111,238090.4347246
215520.5769072,234413.58808191
218443.14534903,233667.90856105
162889.57397573,223361.44469937
232902.2282498,214943.31975827
139780.33431292,272911.42520098
201193.51388329,268587.70790484
238453.41875756,265208.38870161
238453.41875756,265208.38870161
239259.76715766,263534.52030942
127760.38407832,262877.02744273
233711.92547531,262015.04316787
242896.4755558,260813.2105882
139112.30632413,260029.65292697
236166.69579054,259848.41606473
121344.21536308,259233.96891415
116075.92864736,257351.92968488
222436.36295283,252118.32505073
123365.43945682,251796.68263125
249022,250453
232105.16306192,249012.05285768
245909.54714991,244965.06621334
240962.87115166,240673.38864621
267139.50021575,234023.98213966
215512.93133981,232289.87185741
216528.75342207,231194.94601369
266091.58708945,229947.65188385
210647.00754409,229315.49936193
188851.50331843,228737.03802323
154526.5271772,222244.44308886
201397.58635858,268824.18091324
167853.83668241,267972.10003519
239601.56615438,267405.01171592
226693.60995119,264331.05962278
218138.30375347,247545.67632281
241983.25246531,245399.17388855
255949.5818649,244832.26157216
208190.82141018,242167.51554386
169841.79982728,235626.80072013
263415.29100806,235457.77744271
191759.94214267,230641.90534286
233195.87227622,220019.85459521
134472.3298744,215889.35022786
238116.32963167,269008.32107838
207157.27409856,245150.61447742
215064.03665037,215406.19883302
150538.168445,270842.93943834
142771.8839485,268701.34751989
127031.361194944,266465.943253892
234457.71291642,263596.55088136
138130.83422324,254947.1461211
218318.86378047,219065.17546027
129711.69229219,273472.44299753
129921.839992967,269453.89388395
205123.89545802,267521.60803331
198400.69736013,267274.96294207
152044.97463733,266503.75663632
239746.71209325,263795.75078487
233039.80092423,262601.03488758
228646.58673075,262392.13759603
228502.77117579,261343.35045123
247303.95519212,259998.25468948
233306.74520215,259623.7546165
275005.67488375,258377.36428895
258086.24906409,257682.36198125
222358.97392213,253293.79956543
284300.27487707,251747.54227926
182829.63527368,251574.04206762
171500.48720439,248187.40706688
255537.49126722,241116.06030411
276970.70799431,239088.68658149
271218.88263179,236252.32096311
260558.33983834,234657.69463628
236668.82497434,269587.54272562
239104.17479835,268760.65404963
238783.83305721,268638.83059888
226195.38973173,268543.79508589
247893.46634045,266710.07115534
238444.46264301,261366.95106405
246508.79273986,260833.32073833
245495.60314027,260738.75636131
137479.25820219,259659.3319472
235366.92218376,259476.56880956
