"x","y"
131386.0762,270100.412
126553.424145241,271703.958251385
169266.112617625,270972.782977824
213419.656920547,270071.991890033
238248.0300779,265740.602101598
226544.553263883,263907.367471919
117762.237366479,252474.64124659
125218.520511757,240784.340008887
258024.302344488,239197.53111984
267741.094912389,235046.538155187
133700.29713014,227356.454055884
205181.596358943,219847.418656105
226648.337681688,215100.789025362
195227.725619575,268336.304423231
208778,268276
237716.392445444,259730.815562207
216704.186528308,251412.017708487
253760.368358458,244743.950185803
133073.428676655,228671.322623728
227214.537073674,267690.166944641
188685.544320431,266942.957584339
243047.388973887,264130.075118173
212867.91869304999,254656.536923565
200619.541225652,253532.320740878
244591.526462599,248027.261077021
241624,245534
152487.52166164,225820.466007857
186466.762069551,267717.509583049
229026.693480254,262007.239158768
254854,245855
266329.902149264,226882.024910597
235077.004928775,216681.099114921
188685.544320431,266942.957584339
164411.918688743,271648.448043821
228708.078834992,265294.19727081
225738.86143022,262189.64174958
122110.724431282,256319.19822946
218228.205061233,255946.011829932
140437.950187864,255894.309869872
250530.141098222,248812.404069334
268375.80441441,237490.519974536
236138.005381381,236917.819214604
122007.558007149,262258.750998432
128256.079331175,262042.260531688
140811.005110051,259660.642757266
140811.005110051,259660.642757266
258266.96251728,256811.829539897
198683.627827161,256416.174174407
237370.141548228,217583.455625189
119209.304942544,216295.489884377
235776.208959821,216245.59565296
150909.584442117,268972.606959462
164840.159943738,250527.908755229
134967.004906908,272054.860695636
134967.004906908,272054.860695636
202452.198051053,272000.457353541
124752.650174003,271243.61528852
216271.069881665,270281.393705565
261617.84624893,265748.812418452
164215.026851567,264568.931873249
221083.885066347,263531.689377926
228502.596988286,257821.853157633
194946.076485651,246828.39599241
234007.825801982,240387.811898499
241645.46035597,236105.792837863
123414.524435894,229768.469777991
266284.605539813,228496.462868937
237127.815923305,225780.778914821
201266.685889979,219863.578150607
120352.337153766,216386.333656328
213986.567983147,214433.279981439
167647.709461963,269466.05646197
214359.697481214,269327.303298534
243047.388973887,264130.075118173
229386.62242076,259491.236004668
218517.632993398,256594.869732064
125469.80298403,250935.937382513
125469.80298403,250935.937382513
239951.311508339,246965.048226334
263900.877030707,242786.329275597
258437.349046259,218819.611439981
238631.656170138,215939.854497686
233809.999080362,213682.917083069
227127.452592714,259411.594400321
265286.465853357,240673.679490085
265089.9237815,235100.12676213
246787.701145594,253858.110453217
219864.606043604,249608.390316967
306060.746126338,235709.304543187
193999.885379443,231507.292921651
239988.084467915,263138.80529516
139874.626062746,259528.435602396
113533.703732685,258755.066966307
215191.827624839,251865.26608480501
245869.31569466,246718.577711604
204035.861076691,245675.16269638
126034.058148897,240737.937369123
126062.546676235,240414.59342346
216995.656368836,234322.591223507
227440.253116958,227831.767701969
128272.372004705,266831.106524466
123973.73726539,265466.81362711
228708.078834992,265294.19727081
228625.776917251,264036.631534975
160445.051878563,259498.183401896
225848.123973603,258359.815948563
140139.342982272,256819.305660636
282318,255388
199832.813816106,253801.702167597
267301.261967987,240347.553876278
240821.84723644,239466.31090251
223095.621730616,222124.81650068
151209.303303907,270769.497821115
225025.830946799,263917.798306522
263608.746776121,260704.997966921
324407.346756108,254025.327695047
242018.043763268,245161.536788817
183669.3053,241143.7718
126198.95096691,240385.999165353
125162.358658358,236015.700588178
217913.428605538,234070.281644375
132963.593996796,219567.584435434
118818.986970349,216755.740845223
203174.608614817,214155.347341081
229377.503368794,262242.905673396
217455.301728581,269845.044094248
238185.229488529,268223.548327987
198137.459224769,265091.565132277
258066.218806053,261655.219022038
232305.820853635,260899.696200607
321599.38752165,252935.912903446
321599.38752165,252935.912903446
114742.078739485,252881.264555731
208119.457534282,251939.8475012
229966.508415916,233492.295064839
205505.704594384,226735.344379675
224872.622864913,225944.724812212
168408.285665887,224649.814804782
240562.95337587,217317.92685794
241787.956029814,216090.634466776
128272.372004705,266831.106524466
238755,263549
246775.354896923,261576.768257277
193380.172801226,260511.5422536
269615,258898
213945.790388453,254283.29863934
242804.132039803,246142.310376774
241519.874628183,243017.536490082
124874.433130611,240454.563119407
267886.272022945,234898.661532205
136756.925091227,228557.429373016
129828.539371979,273266.159764218
237879.29493885,269025.341890158
226876.11388762,266804.391672686
265346.817119921,237807.643867525
262737.924773161,233080.038285646
279356.052766949,247838.211394185
183652.588097431,237802.911005337
119483.597787901,216244.851060152
280148.447980465,256654.477049013
128662.586967808,272508.257480136
232075.622903788,267500.423035579
228582.877282226,263603.287100293
233591.256622112,258788.986915175
233861.019343484,237951.40855318
233813.888435177,217298.839835374
159155.404246018,272739.263944956
213962.152536864,270302.896304483
227847.15509667,261829.051216324
270642.081092543,259061.763186783
243682.927900303,258067.752139988
123603.161505404,255307.756496053
214566.650813018,247759.558125773
131506.516878789,236780.28157402
130791.899464944,235557.451524421
231644.402911178,232160.177836386
206870,221744
242690.505176223,216922.090433531
119563.7499587,216646.852970471
119257.256696317,216140.397469746
134460.44396615,274775.922451421
139961.730745437,273339.690480923
137708.650672669,270407.183664202
230381.382629719,260792.055777912
140026.138980815,256907.944539794
216538.01578709,256460.93097886
250093.16385116,248289.11428698
284355.086947883,244664.808133241
264100.164869741,243559.941507826
259777.105625088,237858.921903884
264197.099274615,235129.93875704
228114.277984916,231030.223659123
239749.710014318,215694.201812691
169755,270968
227658.337108035,266769.018614901
225986.347399349,259273.202161674
283313.985824132,249733.771977875
232928.723515866,243967.265664043
246039.832608222,243821.982233011
240045.298298097,243760.081353756
193539.222487326,234192.394875042
192792.626413945,226903.905500936
147167.209697446,226150.728970119
183981.160123639,219230.750042583
