"x","y"
280565.01027225,254628.7527465
226585.9414127,266766.51613208
115515.76794554,253071.25504934
241607.59599167,242409.13466716
175799.94247758,216692.84090576
202104.91816087,271905.54460627
180824.3791577,221776.27829479
228709.33554604,265296.98289894
244129.68048126,250303.08411955
305106.08270716,233862.66292984
196688.06308377,231625.77181036
283559.68083196,251274.46581778
127914.50006295,249361.72574066
222794.73976887,260927.28279583
113500.08632521,259099.18106839
260610.61604125,258000.76258579
179866.56227478,234430.45439111
205859.26650871,266984.74430603
227360.25787668,261795.307323
207193.79497564,223792.30983205
234324.5281098,216002.57021379
237935.02412657,265246.8749959
246905.46460992,265116.4344103
231654.33519098,258112.67850819
274081.46777945,242488.23154944
207820.37478422,267239.71284854
240507.86746185,262408.97030148
123824.44302592,221783.72940495
180199.70929143,218789.26262999
145403.31849096,215822.1375506
239764.50636551,268457.66882199
240613.79837599,268414.93640014
210586.24037646,266268.14107071
247195.23488988,261445.45094563
234278.87921295,259076.39399668
224295.37467883,257830.36622203
220680.31773408,214260.03695353
214455.86722326,254634.38572759
228769.17595248,263458.27585441
226614.26309146,252449.55663208
182798.11905093,251489.81120354
149961.01306976,247718.6581581
230871.42942369,231551.9992266
176961.00907274,223113.36291826
239449.8689775,261302.69724332
237660.70291075,259514.32913517
177110.94430323,252215.22414868
125058.23418932,234630.30600291
186792.52712759,233207.74628449
127404.9346517,271308.74838632
175012.12659343,267879.40940238
261585.1406612,266161.26024493
164888.57199528,265067.80755785
242940.01659317,246117.15894929
259757.78720014,239090.41703022
216412.5865574,234599.57987282
181962.96023548,226187.06031546
174140.18072598,224954.07781154
159934.01246152,222975.61088572
176439.74740307,217933.22445816
127730.21204885,274636.87569992
240064.20151466,264429.89159761
224704.01891661,258645.50194731
203585.05477547,253065.27653888
127118.39895772,250593.40416662
153543.08783174,240259.88677424
202952.48448788,231332.09865852
186369.07051755,228376.60528977
182990.69435137,221430.39859369
176337.67613243,219078.08533658
200632.76626747,272179.2631866
143822.17936494,271262.20033645
165269.84307046,266267.85654252
194897.02717247,264439.02663937
202785.56632513,255592.47931466
120818.63245094,247803.93107135
132226.52952594,247689.65184142
229364.86454707,232265.05465193
229591.52651731,231725.66793454
186226.01270367,225127.82112507
199354.84382902,215797.37451855
239970.17628806,262138.97348222
250924.54370351,249738.55882843
228589.3572954,263604.79235799
240394.38215984,262207.94685118
232855.10539587,259999.2554325
265963.20975558,257710.8739572
242000.59715507,243410.30053511
209566.00521375,270434.5072388
136329.5555158,268364.81045285
226585.9414127,266766.51613208
155543.11173822,246284.70266719
184972.06821905,219236.79676885
215840.49930247,269079.0662729
114678.94282128,257069.04298631
238613.81841888,255962.40127302
155574.75709377,246146.54558208
224694.36791989,234284.5460162
138436.98799261,232164.66407223
151141.60896646,230986.21207339
217128.50778048,217777.88276731
119514.33898826,216341.09818895
165001.38891464,271771.63867838
127721.1039647,271514.80955343
201707.63753473,268779.45816089
130842.63832529,268010.37022517
208089.67538214,266530.50019519
161688.46314491,259381.02834196
231654.33519098,258112.67850819
202575.50591745,252845.28089876
247242.17685281,249593.6469649
182683.87545984,240091.03492174
237992.6375747,268269.19326621
232657.235482628,261726.353964847
232657.235482628,261726.353964847
175748.35917785,260728.06526821
255210.68419739,259862.7621386
223200.32014777,248221.1314386
121534.61509034,247567.69637224
241488.84001394,244597.38880951
176783.62798813,235943.50359198
128635.42496773,235153.05797982
176675.89448643,227274.61809577
214782.72315138,225884.55828305
199780.42496781,224155.4824219
224055.78176935,223129.56935128
242589.24714508,218456.74035765
133412.68702883,216308.27255486
231654.33519098,258112.67850819
145688.11379129,268877.32669199
124776.972564,250911.29406681
126813.4854997,249344.65299945
238326.87204685,268983.6665068
263112.34862788,266259.07403768
121797.14560847,263645.35469476
224988.82660102,260424.86729671
273152.84275923,257447.39829288
203079.68188095,254102.2911489
151940.41517956,253799.48894405
278767.135011,252972.89634947
210051.25497815,252957.24853554
131693.01851346,247610.60315544
124961.05400986,242210.82264907
151416.99546028,237897.09296017
175328.69861186,226414.44119114
153426.50049329,219311.77019784
203103.19204902,215231.64193141
244050.63881649,263069.75574667
260606.81570399,257944.2910234
241122.83431244,247721.17287613
257505.93390823,239894.52481949
229009.94207468,235852.43261004
305681.35693258,234463.35396386
230595.71126461,228033.41173616
176279.61870381,221762.38067177
188704.84394078,221700.68900887
123929.63571416,221378.95802187
118638.87198018,217037.54934519
179634.72579962,217015.87969582
233883.35733953,216314.41244022
252130.32389444,215908.74493983
199354.84382902,215797.37451855
142306.97593507,268555.84331501
244502.20645393,241729.84812671
240678.90394055,239925.25012089
209350.6504217,239049.53107509
135305.27119068,227172.54432186
180824.3791577,221776.27829479
134689.27744282,221647.0615432
180981.39508054,221221.02570715
208497.96287623,269348.97282282
149401.61219099,267720.76531638
195934.21062878,252522.89158276
254981.34643269,246385.26731025
237957.1885815,246021.90248543
125131.09330874,240271.64790978
241376.10162829,237296.83639294
119857.37042596,222722.45075319
216492.00182499,216814.67763446
225375.73841933,263267.6342977
194177.89173603,261978.11914684
254340.83092119,258937.9423206
113947.99945645,258039.49791538
123728.06413038,254501.56774459
175531.05331549,249928.68396163
125509.35665067,243835.82366427
222834.70896024,243236.55818625
155349.20422525,242929.99962965
123245.56939527,242171.81218318
276851.12413564,241221.02465465
247396.55548683,238469.94387629
135372.20795592,223687.68608398
121702.37332112,222676.8607754
127439.51440548,266114.46946238
117396.39103737,257132.49935551
225908.28020543,268862.40030751
238986.90528542,268569.65751796
238731.62174339,267624.43400589
242711.55931996,267284.69472051
221447.11254718,265707.85639915
172672.17495444,262506.56305503
246520.27557655,257505.68263362
268375.61234727,237490.20579278
226125.93269576,234192.17178258
232348.82516756,231622.62696779
205333.09200441,227488.55205292
192865.974465,223899.61246998
175094.93261015,217857.52339676
129723.80363263,271260.42108893
149166.37117213,268460.47026016
238790.25316435,268342.04063603
202284.18901579,259341.65257801
237480.07286887,258967.62573193
126096.51722636,252833.60422345
190622.41349048,252344.62151002
117075.73829977,251410.00160565
240628.18598572,242824.44568359
171680.7527924,224244.83465913
180352.50511355,222458.52812084
243079.07155784,217190.2359323
133624.8116923,273329.81083667
128053.68998877,271988.60760637
134864.39758629,269705.47983601
177253.65797894,265090.48754379
226605.01122363,263551.9450548
239793.39772476,260722.15510622
229848.94461305,256513.29373172
256799.43827504,245503.3406244
231280.53529467,242183.53596194
228927.89077765,237963.59386843
227352.0177481,234511.13839107
214496.63432234,231662.30211562
235109.42129203,223041.78596553
182417.76156613,220795.82095191
203967.72166213,270713.57970314
126145.044773,269991.69803245
228709.33554604,265296.98289894
214033.81709435,264274.10803464
113901.56343021,254415.9301214
201621.70819519,254346.34156355
137533.01841944,252033.25963017
255950.33375347,244828.12832757
180126.49122856,219249.42876692
173909.50408804,271752.67058935
213111.35221277,269893.64343852
234912.83649962,269863.6801498
240390.51083392,268599.15339592
220107.55328013,262819.59262004
236677.78232101,257976.671773
227461.45494268,255936.24316842
115035.90043252,252934.695179
242221.62498825,243547.85456688
201110.05525597,224005.63846471
235036.48020578,216169.88878792
239012.46624578,215042.67026875
232506.97036322,258593.38127735
132123.00791656,232276.92398384
131403.14907667,269943.53265438
131725.26150792,267635.30272136
235272.62278547,233933.9202868
165151.77070347,270600.72522102
224498.70856762,264523.02800701
225879.21539019,260473.45938387
222245.29199877,260370.60510397
246767.44905462,242027.06947888
181613.98927207,241235.38334618
234884.50526096,240878.09444732
241797.50328642,233902.05427568
196261.88747594,232254.49125506
197326.80263043,224985.03083874
193507.05576904,223933.79376993
173634.75374841,223146.94305419
183447.38656364,223133.83100805
256760.71709591,219952.22960873
123390.41557729,218768.79246887
175598.10304896,216868.01424011
232541.82930863,216374.41560349
246959.13774051,257399.0841201
226266.57805866,240769.65170651
195997.12360613,230125.39672875
167626.39152005,225354.75150033
200553.23312358,223370.14300008
259529.06194456,219354.21948763
177044.33798903,218880.92099669
174787.44355063,217947.85900651
124376.77882999,265728.57064839
227593.13271254,265533.28993351
226299.17137913,264019.00180462
258060.8639557,260946.53817913
261936.60963879,259734.20107285
262328.26948998,258770.28930436
201125.85689236,256206.29342866
139746.09022255,255117.76412271
128905.85315535,252056.85397399
247278.42793165,238536.7132603
194261.25697052,231248.47067353
197616.43521567,224842.57789157
189746.24783131,224340.75566187
156356.98716711,222213.92818165
180567.42017026,217930.30661546
176013.13815445,217416.02239942
130278.28775936,268919.8268627
176701.18266962,268138.52472776
188685.37778219,266942.63655333
227187.34106525,265895.83147841
220907.88111129,264911.96072242
121768.38032821,261080.66638291
202976.11536768,253933.54684228
276695.69327441,250500.82820089
124817.03708428,241281.79570017
237829.90880962,235886.16142793
216421.16870869,234434.92577898
126371.35341018,227892.34270302
233783.76114089,215580.56291667
206445.34200276,214327.93296375
187014.40801343,272357.86164889
233610.84858823,270224.47053441
213111.35221277,269893.64343852
234236.50879928,265273.27663912
258163.50386763,260057.60570593
239814.73485924,258853.50354429
158181.5208346,258159.76162617
229348.29702256,258052.55896084
122806.81074604,245388.30481694
251575.84814627,242746.1916153
272357.64273163,236567.45663132
176125.64110169,216710.08251795
130422.38637647,272493.35542843
168434.08382275,270612.44747896
261651.13979133,266060.32399699
161050.10411236,219694.21979863
130007.73768556,268503.1615161
237842.58902488,265731.1447382
282212.02107978,255679.25786571
231521.84009441,254349.26423198
125523.55831023,220950.27028858
247608.4233205,219587.13625114
128127.05370891,272529.09439214
130615.71590524,268908.60095986
221597.56185187,267597.33529595
161787.34085046,265851.93252316
178606.65181438,265103.13466534
216419.4189006,264781.53350358
179544.40568846,263878.3464627
239449.8689775,261302.69724332
